English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
pronunciation,B2,masculine,izgovor,X,način na koji se riječi izgovaraju,X,To je samo izgovor da ne napravi ono što treba.,That’s just an excuse not to do what he should.,,
lose,A2,verb,izgubiti,X,prestati imati nešto što se ranije imalo,X,U žurbi sam uspio izgubiti ključ od stana.,"In my hurry, I managed to lose my apartment key.",,
"present, expose",B2,verb,izlagati,X,izlagati nešto pogledima ili procjeni,X,Počeli su izlagati rezultate istraživanja na međunarodnoj konferenciji.,They began to present the results of their research at an international conference.,,
exit,A1,masculine,izlaz,X,otvori ili vrata kroz koja se izlazi iz prostorije ili zgrade,X,Izlaz iz kina je desno.,The exit from the cinema is to the right.,,
"go out, exit",B1,verb,izlaziti,X,izaći iz zatvorenog prostora; napustiti mjesto,X,Počeo sam redovito izlaziti jer mi treba više društvenog života.,I started going out regularly because I need more social life.,,
"trip, outing, excursion",A2,masculine,izlet,X,kraće putovanje radi odmora ili razgledavanja,X,U nedjelju idemo na izlet u planine.,We are going on a trip to the mountains on Sunday.,,
"present, expose",B1,verb,izložiti,X,staviti nešto na vidljivo mjesto,X,Izložio je svoj prijedlog pred cijelim razredom.,He presented his proposal to the entire class.,,
between,A2,preposition,između,X,mjesto između dvije stvari,X,Stolica je između stola i prozora.,The chair is between the table and the window.,,
"fictional, invented",B2,adjective,izmišljeni,X,koji je izmišljen ili ne postoji u stvarnosti,X,Likovi u romanu djeluju uvjerljivo unatoč tome što su izmišljeni.,The characters in the novel seem believable despite being fictional.,,
"above, over",A2,preposition,iznad,X,iznad; na višem mjestu od nečega,X,Ptica leti iznad krova.,The bird is flying above the roof.,,
rent out,B1,verb,iznajmiti,X,dati nekome prostor ili predmet na privremeno korištenje uz naknadu,X,On iznajmljuje stan blizu centra grada.,He rents an apartment near the city center.,,
surprise,B1,neuter,iznenađenje,X,nešto neočekivano što izaziva iznenađenje,X,Pripremili su iznenađenje za njezin rođendan.,They prepared a surprise for her birthday.,,
surprise,B1,verb,iznenaditi,X,izazvati čuđenje ili nevjericu kod nekoga,X,Vijest ju je potpuno iznenadila.,The news completely surprised her.,,
surprise,B2,verb,iznenađivati,X,ponavljano izazivati iznenađenje,X,Njegove šale neprestano iznenađuju publiku.,His jokes constantly surprise the audience.,,
exception,B1,feminine,iznimka,X,slučaj koji odstupa od pravila,X,Ovaj slučaj je rijetka iznimka u pravu.,This case is a rare exception to the rule.,,
"again, anew",B1,adverb,iznova,X,ponovno; ispočetka,X,Počnimo iznova.,Let's start over.,,
"compute, calculate",B1,verb,izračunati,X,računski odrediti vrijednost,X,Pokušavam izračunati koliko ćemo potrošiti ovaj mjesec.,I'm trying to calculate how much we'll spend this month.,,
computable,B2,adjective,izračunljiv,X,koji se može izračunati,X,Upravo smo dokazali da je ovaj matematički model izračunljiv.,We have just proven that this mathematical model is calculable.,,
"make, produce, manufacture",B1,verb,izraditi,X,izraditi nešto rukama ili alatom,X,Pokušao je izraditi model prema uputama.,He tried to build a model according to the instructions.,,
"make, produce, manufacture",B2,verb,izrađivati,X,ponavljano izrađivati predmete ili proizvode,X,Ta tvornica izrađuje namještaj po mjeri.,This factory makes custom-made furniture.,,
"direct, immediate",B2,adjective,izravan,X,"koji ide ravno, bez posrednika",X,Njegov izravan stil komunikacije ponekad može zvučati grubo.,His direct style of communication can sometimes sound rude.,,
expression,B2,masculine,izraz,X,"riječ, znak ili izraz kojim se nešto opisuje",X,Njegov izraz lica pokazao je iznenađenje.,His facial expression showed surprise.,,
express,B2,verb,izražavati,X,izražavati osjećaje ili misli riječima ili gestama,X,Teško je izražavati osjećaje riječima.,It is difficult to express feelings in words.,,
express,B1,verb,izraziti,X,"jasno izreći misao, osjećaj ili stav",X,Teško je izraziti sve misli u nekoliko rečenica.,It is difficult to express all thoughts in a few sentences.,,
"die out, go extinct",B2,verb,izumirati,X,nestajati postupno kao vrsta,X,Neke tradicionalne zajednice polako izumiru zbog iseljavanja i globalizacije.,Some traditional communities are slowly dying out due to emigration and globalization.,,
"die out, go extinct",B1,verb,izumrijeti,X,prestati postojati kao vrsta,X,Neke životinjske vrste mogle bi izumrijeti zbog klimatskih promjena.,Some animal species could become extinct due to climate change.,,
outside of,B1,preposition,izvan,X,izvan granica nečega,X,Pas je izvan kuće.,The dog is outside the house.,,
perform,B2,verb,izvesti,X,"izvesti radnju, prikaz ili nastup",X,Pokušao je izvesti složen plesni pokret bez greške.,He tried to perform a complex dance move without a mistake.,,
report,B1,neuter,izvješće,X,pisani ili usmeni prikaz događaja ili stanja,X,Pročitao sam izvješće o rezultatima tvrtke.,I read the company's performance report.,,
report,B1,masculine,izvještaj,X,pisani prikaz događaja ili stanja,X,Izvještaj je pokazao napredak u svim odjelima.,The report showed progress in all departments.,,
"source, origin, well, spring",B1,masculine,izvor,X,mjesto odakle nešto potječe ili izvire,X,Izvor rijeke nalazi se duboko u šumi.,The source of the river is located deep in the forest.,,
export,B1,masculine,izvoz,X,prodaja robe u inozemstvo,X,Izvoz naših proizvoda raste svake godine.,The export of our products is growing every year.,,
export,B2,verb,izvoziti,X,slati robu ili usluge u druge zemlje,X,Tvrtka planira izvoziti svoje proizvode na nova tržišta.,The company plans to export its products to new markets.,,
"execute, carry out",B1,verb,izvršavati,X,provoditi u djelo; ostvarivati zadatke,X,On svakodnevno izvršava svoje obaveze.,He performs his duties every day.,,
"execute, carry out",B2,verb,izvršiti,X,obaviti zadanu radnju do kraja,X,Tim je uspio izvršiti zadatak unutar zadanog roka.,The team managed to complete the task within the given deadline.,,
"excellent, great",B1,adjective,izvrstan,X,"vrlo dobar, odličan",X,To je bio izvrstan film koji bih rado pogledao opet.,It was an excellent movie that I’d gladly watch again.,,
"draw out, pull out",B1,verb,izvući,X,povući nešto van iz zatvorenog prostora,X,Pokušao je izvući zaključak iz svih podataka.,He tried to draw a conclusion from all the data.,,
I,A1,pronoun,ja,X,zamjenica kojom govornik označava samoga sebe,X,Ja idem u školu.,I go to school.,,
apple,A1,feminine,jabuka,X,"voće okruglog oblika s crvenom, žutom ili zelenom korom i sočnom unutrašnjošću",X,Jabuka je crvena.,The apple is red.,,
wretch,B1,masculine,jadnik,X,osoba u teškom stanju ili bijedi,X,Jadnik je izgubio sve što je imao u požaru.,The poor man lost everything he had in a fire.,,
"the Adriatic, the Adriatic Sea",A2,masculine,Jadran,X,more između Balkana i Apenina,X,Ljeti često putujemo na Jadran.,We often travel to the Adriatic in the summer.,,
Adriatic,B1,adjective,jadranski,X,koji se odnosi na Jadransko more,X,More ima prepoznatljiv jadranski miris i boju.,The sea has a distinctive Adriatic smell and color.,,
strawberry,A1,feminine,jagoda,X,sitno crveno voće slatkog okusa koje raste na polju ili u vrtu,X,Jagoda je crvena i slatka.,The strawberry is red and sweet.,,
egg,A1,neuter,jaje,X,tvrda ovalna hrana koju nesu ptice i u kojoj se nalazi žumanjak i bjelanjak,X,Jaje se kuha u loncu s vodom.,The egg is cooking in a pot with water.,,
ovary,B2,masculine,jajnik,X,muška spolna žlijezda u kojoj nastaju jajne stanice,X,Jajnik proizvodi hormone koji reguliraju menstrualni ciklus.,The ovary produces hormones that regulate the menstrual cycle.,,
strong,A2,adjective,jak,X,koji ima veliku snagu,X,On je vrlo jak i može nositi teške kutije.,He is very strong and can carry heavy boxes.,,
jacket,A1,feminine,jakna,X,odjevni predmet koji prekriva gornji dio tijela i štiti od hladnoće,X,Jakna je topla.,The jacket is warm.,,
"really, very, strongly",A1,adverb,jako,X,snažno; u velikoj mjeri,X,Dijete jako voli čokoladu.,The child really loves chocolate.,,
barren,B2,adjective,jalov,X,koji ne može rađati; neplodan,X,Njegovi napori pokazali su se jalovima.,His efforts proved fruitless.,,
barrenness,C,feminine,jalovost,X,neplodnost; nemogućnost rađanja,X,Jalovost njihovih pokušaja reforme s vremenom je postala očita svima.,The futility of their reform efforts gradually became apparent to everyone.,,
guarantor,B2,masculine,jamac,X,osoba koja jamči za nešto ili nekoga,X,Jamac potpisuje dokument kako bi potvrdio tuđi dug.,A guarantor signs a document to confirm someone else's debt.,,
guarantee,B1,neuter,jamstvo,X,jamstvo da će nešto biti ispunjeno,X,Kupac traži pisano jamstvo za novi uređaj.,A customer is requesting a written guarantee for a new device.,,
Japan,A1,masculine,Japan,X,država u istočnoj Aziji,X,Japan je otočna zemlja u Aziji.,Japan is an island country in Asia.,,
Japanese man,A2,masculine,Japanac,X,muškarac iz Japana,X,Japanac voli jesti rižu i ribu.,The Japanese man likes to eat rice and fish.,,
Japanese,B1,adjective,japanski,X,koji se odnosi na Japan ili japanski jezik,X,Gledali smo japanski crtić.,We watched a Japanese cartoon.,,
Japanese,B1,masculine,japanski,X,osoba podrijetlom iz Japana,X,On uči japanski u školi.,He is learning Japanese at school.,,
clear,A2,adjective,jasan,X,koji se jasno vidi ili razumije,X,Odgovor mora biti jasan i točan.,The answer must be clear and accurate.,,
clarity,B2,feminine,jasnost,X,jasnoća u izražavanju ili razumijevanju,X,Jasnost u govoru pomaže da te svi razumiju.,Clarity in speech helps everyone understand you.,,
pillow,A2,feminine,jastuk,X,mekani predmet za spavanje na kojem leži glava,X,Na krevetu je mekan jastuk.,There is a soft pillow on the bed.,,
public,B1,adjective,javni,X,koji pripada svima; otvoren za javnost,X,Sastanak je bio otvoren za javnost.,The meeting was open to the public.,,
publicity,B1,feminine,javnost,X,sfera društvenog života dostupna svima,X,Političar je dao izjavu za javnost nakon sastanka.,The politician gave a statement to the public after the meeting.,,
fuck,C,verb,jebati,X,spolno općiti s nekim,X,On zna jebati stvar do kraja kad se naljuti i ne staje dok ne izbaci sve iz sebe.,He knows how to fuck things up completely when he gets angry and won’t stop until he lets everything out.,,X
"damn, fuck",B2,interjection,jebote,X,"uzvik kojim se izražava iznenađenje, ljutnja ili frustracija",X,"Jebote, nisam očekivao takav rezultat!","Damn, I didn’t expect such a result!",,
barley,B2,masculine,ječam,X,žitarica koja se koristi za proizvodnju piva i kruha,X,Ječam se najčešće koristi za proizvodnju piva i kruha.,Barley is most often used for the production of beer and bread.,,
one,A1,numeral,jedan,X,broj koji označava količinu od jedan,X,Imam jedan stol.,I have one table.,,
eleven,A1,numeral,jedanaest,X,broj koji označava količinu od deset plus jedan,X,Na satu je jedanaest učenika.,There are eleven students in the class.,,
unite,C,verb,jediniti,X,spojiti u cjelinu,X,Teorija pokušava jediniti raspršene koncepte u jedinstven analitički okvir.,The theory attempts to unify scattered concepts into a single analytical framework.,,X
unique,B2,adjective,jedinstven,X,koji je jedini takav; neponovljiv,X,Njegov stil predstavlja jedinstven spoj tradicije i suvremenosti.,Its style represents a unique blend of tradition and modernity.,,
uniquely,B2,adverb,jedinstveno,X,na jedinstven način,X,Izložba je jedinstveno prikazala razvoj umjetničke ideje.,The exhibition uniquely demonstrated the development of an artistic idea.,,
uniqueness,C,feminine,jedinstvenost,X,svojstvo jedinstvenog,X,Jedinstvenost njegova pristupa postaje jasna tek u odnosu na dominantne teorije.,The uniqueness of his approach becomes clear only in relation to dominant theories.,,
unity,B2,neuter,jedinstvo,X,sklad i nerazdvojivost dijelova u cjelinu,X,Jedinstvo skupine očuvalo se unatoč političkim razlikama.,The unity of the group has been preserved despite political differences.,,
equal,A2,adjective,jednak,X,koji je isti; bez razlike,X,Svi imamo jednaka prava u razredu.,We all have equal rights in the classroom.,,
equality,B2,feminine,jednakost,X,stanje u kojem svi imaju jednaka prava i mogućnosti,X,Jednakost svih građana temelj je pravednog društva.,Equality of all citizens is the foundation of a just society.,,
simple,A2,adjective,jednostavan,X,koji nije kompliciran; lagan za razumjeti,X,Ovaj zadatak je jednostavan i svi ga mogu riješiti.,This task is simple and everyone can solve it.,,
simplicity,B2,feminine,jednostavnost,X,svojstvo biti jednostavan i lako razumljiv,X,Jednostavnost dizajna daje prostoru eleganciju.,The simplicity of the design gives the space elegance.,,
cheap,A2,adjective,jeftin,X,koji košta malo; koji nije skup,X,Ova knjiga je jeftina.,This book is cheap.,,
deer,B1,masculine,jelen,X,životinja s rogovima koja živi u šumama,X,U šumi smo vidjeli jelena s velikim rogovima.,In the forest we saw a deer with large antlers.,,
dish,A1,neuter,jelo,X,pripremljena hrana,X,Ovo jelo ima rižu i povrće.,This dish has rice and vegetables.,,
menu,A1,masculine,jelovnik,X,popis jela i pića u restoranu,X,U restoranu gledam jelovnik i biram juhu.,"In a restaurant, I look at the menu and choose a soup.",,
because,A1,conjunction,jer,X,veznik koji uvodi uzrok ili razlog,X,"Ne idem van, jer pada kiša.","I’m not going outside, because it’s raining.",,
"autumn, fall",A1,feminine,jesen,X,"godišnje doba koje dolazi nakon ljeta, a prije zime",X,Jesen je hladna.,Autumn is cold.,,
eat,A1,verb,jesti,X,unositi hranu u organizam,X,On jede kruh.,He is eating bread.,,
edible,B1,adjective,jestiv,X,koji se može jesti,X,Gljiva je jestiva samo ako se pravilno pripremi.,A mushroom is edible only if it is properly prepared.,,
liver,B2,feminine,jetra,X,organ u tijelu koji čisti krv od štetnih tvari,X,Jetra ima važnu ulogu u čišćenju krvi.,The liver has an important role in cleansing the blood.,,
